"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer Group"">添加/编辑</a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory"">添加/编辑</a>"
Billed,已付费
Company,公司
Currency is required for Price List {0},价格表{0}需要指定货币
Default Customer Group,默认用户组
Default Territory,默认区域
Delivered,已交付
Enable Shopping Cart,启用购物车
Go ahead and add something to your cart.,选择商品添加进购物车吧
Hey! Go ahead and add an address,请添加一个地址吧
Invalid Billing Address,无效的帐单地址
Invalid Shipping Address,无效的送货地址
Missing Currency Exchange Rates for {0},缺少货币{0}汇率
Name is required,名称是必需的
Not Allowed,不允许
Paid,已支付
Partially Billed,部分付款
Partially Delivered,部分交付
Please specify a Price List which is valid for Territory,请指定区域的价格表
Please specify currency in Company,请指定公司的货币
Please write something,请填写内容
Please write something in subject and message!,主题和消息是必填的
Price List,价格表
Price List not configured.,未配置价格表。
Quotation Series,报价
Shipping Rule,送货规则
Shopping Cart,购物车
Shopping Cart Price List,价格表
Shopping Cart Price Lists,价目表
Shopping Cart Settings,购物车设置
Shopping Cart Shipping Rule,运费规则
Shopping Cart Shipping Rules,运费规则
Shopping Cart Taxes and Charges Master,税及费用
Shopping Cart Taxes and Charges Masters,税及费用
Something went wrong!,发生了一些小问题
Something went wrong.,发生了一些小问题
Tax Master,税务数据
To Pay,支付方式
Updated,已更新
You are not allowed to reply to this ticket.,未被授权回复此记录
You need to be logged in to view your cart.,您需要登录才能查看您的购物车。
You need to enable Shopping Cart,您需要启用的购物车
{0} cannot be purchased using Shopping Cart,{0}不能放入购物车
{0} is required,{0}是必需的
{0} {1} has a common territory {2},{0} {1}有一个共同的区域{2}
Cart,购物车
Addresses,地址
My Orders,我的订单
My Tickets,我的咨询
Invoices,发票
Shipments,发货情况
My Profile,个人资料
Home,首页
My Addresses ,我的地址
New Address,新地址
Insert,插入
Place Order,下单
Available (in stock),库存有货
Not in stock,无库存
New Shipping Address,新建送货地址
New Billing Address,新建账单地址